"Player","Pos","Team","week1Targets","week2Targets","week3Targts","week4Targets","week5Targets","week6Targets","week7Targets","week8Targets","week9Targets","week10Targets","week11Targets","week12Targets","week13Targets","week14Targets","week15Targets","week16Targets","week17Targets","week18Targets","TTL","AVG"
"Austin Hooper","TE","LV","1","2","0","2","2","2","2","2","1","1","1","2","bye","1","1","3","3","5","31","1.8"
"Michael Carter","RB","ARI","2","2","1","3","3","1","-","1","6","1","-","4","0","bye","3","1","1","2","31","2.1"
"Emari Demercado","RB","ARI","0","2","0","4","3","1","5","1","-","-","-","0","0","bye","3","8","3","0","30","2.1"
"Mack Hollins","WR","ATL","4","6","4","3","2","4","0","3","3","-","bye","-","-","1","-","0","0","0","30","2.3"
"Calvin Austin III","WR","PIT","6","4","6","5","1","bye","0","2","1","1","0","1","1","0","0","2","0","0","30","1.8"
"Treylon Burks","WR","TEN","3","4","6","-","-","-","bye","2","3","-","-","-","0","3","3","3","3","0","30","2.7"
"Brandon Johnson","WR","DEN","3","3","3","1","1","2","0","-","bye","-","-","-","0","0","1","5","6","5","30","2.3"
"John Metchie III","WR","HOU","-","1","2","2","2","0","bye","0","1","2","1","2","3","5","1","3","3","2","30","1.9"
"Alex Erickson","WR","LAC","-","-","-","-","bye","-","-","-","-","-","1","3","1","7","2","2","8","5","29","3.6"
"John Bates","TE","WAS","0","5","2","1","2","0","1","1","2","3","2","0","1","bye","1","5","1","1","28","1.6"
"Josh Oliver","TE","MIN","3","3","2","0","2","0","2","0","2","0","4","0","bye","1","2","2","2","3","28","1.6"
"AJ Dillon","RB","GB","3","1","0","1","1","bye","2","5","1","3","4","3","1","3","-","0","0","-","28","1.9"
"Daniel Bellinger","TE","NYG","1","0","1","1","1","0","0","1","3","3","3","1","bye","2","2","5","4","0","28","1.6"
"Drew Sample","TE","CIN","0","0","1","1","0","1","bye","1","4","3","2","1","1","2","1","3","4","2","27","1.6"
"Parris Campbell","WR","NYG","4","6","6","5","2","0","0","0","2","1","0","1","bye","-","-","-","-","-","27","2.3"
"Irv Smith Jr.","TE","CIN","5","4","-","-","0","2","bye","4","4","1","1","2","0","0","3","-","-","-","26","2.2"
"Mike Williams","WR","LAC","5","13","8","-","bye","-","-","-","-","-","-","-","-","-","-","-","-","-","26","8.7"
"Will Mallory","TE","IND","-","2","-","-","-","1","1","2","-","2","bye","3","4","5","0","4","1","1","26","2.2"
