"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jaret Patterson","LAC","12.1","29.1","0.1","0.8","6.2","0.0","0.0","4.9"
"James Robinson","NO","23.7","31.3","0.0","1.0","7.3","0.0","0.1","4.8"
"Zander Horvath","NO","3.1","5.7","0.0","2.9","6.0","0.1","0.0","4.6"
"Tyler Badie","DEN","16.9","27.5","0.0","0.8","9.1","0.0","0.1","4.5"
"Alex Armah Jr.","WAS","0.0","0.0","0.0","3.0","13.0","0.0","0.0","4.3"
"Jake Funk","DET","0.0","10.0","0.0","1.0","12.0","0.0","0.0","3.2"
"Ellis Merriweather","GB","0.0","12.0","0.1","0.6","4.1","0.0","0.0","3.1"
"Zonovan Knight","DET","0.0","13.0","0.0","1.0","8.0","0.0","0.0","3.1"
"Derrick Gore","WAS","0.0","26.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Dwayne Washington","DEN","0.0","1.6","0.0","0.5","4.4","0.0","0.0","1.3"
"Henry Pearson","GB","0.0","2.5","0.0","0.2","1.0","0.0","0.0","0.7"
"Godwin Igwebuike","PIT","8.0","24.4","0.0","0.0","20.8","0.0","0.0","0.0"
""
""
